DateTime,AddedIPs,RemovedIPs
1593643321,15,1
1593643922,4,0
1593645121,2,0
1593645721,1,0
1593646321,0,2
1593646921,4,0
1593648121,1,2
1593649321,5,0
1593650521,4,3
1593652321,1,3
1593652922,10,2
1593654121,5,2
1593655322,5,1
1593657121,0,1
1593657722,10,0
1593658921,7,1
1593660121,1,8
1593660721,3,0
1593661321,1,0
1593661921,4,4
1593662521,2,0
1593663121,0,1
1593663721,1,0
1593664321,0,4
1593665521,2,0
1593666721,11,2
1593667321,9,1
1593668521,1,3
1593669721,1,1
1593670921,3,0
1593672121,0,1
1593672721,2,0
1593674521,4,0
1593675722,1,2
1593676321,0,2
1593676921,5,1
1593678121,6,2
1593679321,0,6
1593680521,4,0
1593681121,4,3
1593682322,2,0
1593683521,1,1
1593685321,10,0
1593686521,9,4
1593687121,2,0
1593687721,2,0
1593688321,4,0
1593688921,0,1
1593690121,4,0
1593691321,0,1
1593693121,13,0
1593694321,6,2
1593694921,7,3
1593696721,4,3
1593697922,0,2
1593698521,2,2
1593699121,2,0
1593699721,5,0
1593700321,0,4
1593701521,2,2
1593702121,20,0
1593702721,7,0
1593703321,5,0
1593703921,1,1
1593705122,6,0
1593706922,1,0
1593707521,1,0
1593708121,1,0
1593709921,12,2
1593711721,3,1
1593713521,3,9
1593714122,2,0
1593715321,5,1
1593715921,0,1
1593716521,0,5
1593718921,0,1
1593719521,1,0
1593720121,0,1
1593721321,2,1
1593722521,5,2
1593723121,2,0
1593724321,2,0
1593726121,3,2
1593727921,1,1
1593728521,9,0
1593730921,2,5
1593732122,2,0
1593733321,3,3
1593735721,11,1
1593736321,2,2
1593737521,3,0
1593738121,5,0
1593739321,3,0
1593741121,3,1
1593742921,3,0
1593743521,41,1
1593745321,2,1
1593745921,1,0
1593747721,0,1
1593748921,5,0
1593749521,0,3
1593750721,0,2
1593752521,0,2
1593753121,0,1
1593754322,0,2
1593754921,1,0
1593756121,0,1
1593757322,0,4
1593758521,0,1
1593759122,0,2
1593760321,1,0
1593760921,0,1
1593762121,1,0
1593763321,0,1
1593764521,2,1
1593765721,1,1
1593766321,1,0
1593767521,27,1
1593768721,25,1
1593769322,2,2
1593770521,1,0
1593772321,2,1
1593775321,1,0
1593776522,1,1
1593777122,2,2
1593778921,2,2
1593780721,2,0
1593781322,0,1
1593781922,1,3
1593783121,2,0
1593783721,0,44
1593785522,1,0
1593786122,0,2
1593787921,0,1
1593789121,0,1
1593790322,0,3
1593790921,2,0
1593791521,0,1
1593792721,3,2
1593793321,0,4
1593795121,1,2
1593796321,1,0
1593796921,2,0
1593797521,3,1
1593798721,0,1
1593800522,1,1
1593801121,0,1
1593801721,1,1
1593802321,3,0
1593802921,0,1
1593805322,1,3
1593807121,2,0
1593807721,0,1
1593808921,1,1
1593810121,2,2
1593812521,2,1
1593813721,1,0
1593814921,3,0
1593816721,5,2
1593818521,1,31
1593819121,0,19
1593820321,1,4
1593822121,2,5
1593823921,0,4
1593825721,1,4
1593826321,1,0
1593826921,0,3
1593830521,0,6
1593831121,0,1
1593831721,1,2
1593832322,1,2
1593832921,0,2
1593834721,0,2
1593835321,0,5
1593836521,0,2
1593837721,1,0
1593838921,1,0
1593839521,1,2
1593841321,2,2
1593842521,0,1
1593843721,1,0
1593844322,0,1
1593847921,0,1
1593850321,0,1
1593852122,1,0
1593853321,1,2
1593853921,0,1
1593855121,2,4
1593858721,0,1
1593859322,0,1
1593860521,0,1
1593861121,1,0
1593862321,1,3
1593863521,1,6
1593864121,0,4
1593865921,0,3
1593866521,1,1
1593868921,0,8
1593870121,0,1
1593871922,6,4
1593872521,1,4
1593873721,6,0
1593874321,0,1
1593874921,1,9
1593875521,3,0
1593876721,1,8
1593877921,3,3
1593878522,0,5
1593879121,0,3
1593882121,0,16
1593883321,1,2
1593884521,1,0
1593885122,0,2
1593885721,2,19
1593886922,1,25
1593887521,1,0
1593888122,0,5
1593889321,0,10
1593889921,1,3
1593891721,0,9
1593892322,0,4
1593892921,1,0
1593894121,1,12
1593896521,0,6
1593897721,0,3
1593898921,0,2
1593900121,0,2
1593901921,1,0
1593902521,1,0
1593903721,0,2
1593904921,1,0
1593906121,2,1
1593906721,0,3
1593907321,0,2
1593908522,1,0
1593909721,0,2
1593910921,2,0
1593912121,0,2
1593913321,1,3
1593914521,1,3
1593915721,2,0
1593916921,2,3
1593918122,1,2
1593920521,1,4
1593924122,0,4
1593925321,2,1
1593926521,0,5
1593929522,0,3
1593930721,0,5
1593933722,10,2
1593934921,1,1
1593936121,3,4
1593937921,0,2
1593939121,1,0
1593939721,0,1
1593941522,0,2
1593942121,1,0
1593946322,0,1
1593946921,1,0
1593948121,0,38
1593948721,0,6
1593949922,0,13
1593951721,0,6
1593952321,0,3
1593955921,1,2
1593956521,1,4
1593958321,2,3
1593958921,0,1
1593960121,1,9
1593960721,1,0
1593961921,4,0
1593963721,0,1
1593964921,1,0
1593965521,2,2
1593966121,0,1
1593966721,11,0
1593967321,1,0
1593968521,1,0
1593969721,0,2
1593970921,0,1
1593973321,0,7
1593974521,1,0
1593975722,0,2
1593976921,0,41
1593977521,0,2
1593978721,0,2
1593980521,11,0
1593981121,1,0
1593982921,1,1
1593985321,1,3
1593985921,0,1
1593987121,2,16
1593988321,2,1
1593989522,0,2
1593990122,1,2
1593991321,1,2
1593992521,1,2
1593993121,22,0
1593994321,1,0
1593995521,2,1
1593996121,1,0
1593997321,4,2
1593998521,1,1
1593999121,1,0
1593999721,3,0
1594000922,4,6
1594002121,1,1
1594003921,9,3
1594004521,0,2
1594005721,2,0
1594006921,6,1
1594008121,5,2
1594008721,1,0
1594009921,2,3
1594010521,4,1
1594011721,1,0
1594012321,3,0
1594012921,1,1
1594013521,0,2
1594014121,0,2
1594015321,1,1
1594015921,3,0
1594016521,1,0
1594017121,1,1
1594017721,1,1
1594018921,2,0
1594020121,0,3
1594020721,0,2
1594021322,1,0
1594021921,11,0
1594023721,7,0
1594024921,4,0
1594026122,1,2
1594027322,6,0
1594029121,1,0
1594030321,1,0
1594030921,22,0
1594032121,7,1
1594032722,0,1
1594034521,2,1
1594037522,1,1
1594038121,0,1
1594039321,0,12
1594040521,1,0
1594041121,0,2
1594042321,0,3
1594043521,1,0
1594044722,3,8
1594046522,4,3
1594047121,3,0
1594048322,4,5
1594049521,4,2
1594050721,3,2
1594051321,1,5
1594051921,5,0
